 0.110101, acc 0.97
2017-06-30T15:08:46.489839: step 33645, loss 0.0535455, acc 0.99
2017-06-30T15:08:47.865598: step 33646, loss 0.05, acc 0.99
2017-06-30T15:08:49.227164: step 33647, loss 0, acc 1
2017-06-30T15:08:50.596445: step 33648, loss 0, acc 1
2017-06-30T15:08:51.939517: step 33649, loss 0, acc 1
2017-06-30T15:08:53.294217: step 33650, loss 0.0312003, acc 0.99
2017-06-30T15:08:54.656428: step 33651, loss 0.0899941, acc 0.97
2017-06-30T15:08:56.007777: step 33652, loss 0, acc 1
2017-06-30T15:08:57.361775: step 33653, loss 0, acc 1
2017-06-30T15:08:58.726222: step 33654, loss 0, acc 1
2017-06-30T15:09:00.086414: step 33655, loss 0, acc 1
2017-06-30T15:09:01.443627: step 33656, loss 0.0131769, acc 0.99
2017-06-30T15:09:02.800593: step 33657, loss 0, acc 1
2017-06-30T15:09:04.161030: step 33658, loss 0, acc 1
2017-06-30T15:09:05.529031: step 33659, loss 0, acc 1
2017-06-30T15:09:06.917328: step 33660, loss 0.0326888, acc 0.99
